parcode,trial,rt,choice,item_left,item_right
202,287,1858,1,-6,-4.95
202,289,1648,1,-5.67,-1.65
202,291,1476,1,-5.796,-2.85
202,293,1937,1,-4.18,-1.248
202,295,1561,-1,-1.98,-5.06
202,297,1074,-1,0,-9.9
202,299,1498,-1,-1.725,-5.796
202,301,1619,-1,-1.802,-4.77
202,303,2078,1,-5.712,-2.808
202,305,1954,1,-5.852,-2.808
202,307,1451,-1,-1.394,-5.396
202,309,857,1,-9.9,0
202,311,2091,-1,-1.199,-5.208
202,313,1425,-1,-3.57,-5.544
202,315,1283,-1,-2.261,-5.256
202,317,954,-1,0,-9.9
202,319,3142,-1,-1.792,-1.748
202,321,2274,-1,-3.2,-4.209
202,323,2221,1,-4.536,-1.56
202,325,1581,1,-3.96,-2.033
202,327,5340,-1,-3.344,-3.354
202,329,1478,1,-3.408,-1.442
202,331,1604,1,-4.071,-1.056
202,333,5113,-1,-2.464,-5.456
202,335,1861,-1,-1.7,-2.624
202,337,1668,1,-4.608,-2.552
202,339,5156,-1,-2.691,-3.663
204,171,3357,1,-3.456,-3.51
204,173,1149,-1,-1.701,-4.686
204,175,1626,-1,-2.376,-5.4
204,177,1232,1,-5.394,-1.344
204,179,2442,-1,-2.04,-2.124
204,181,1550,-1,-1.128,-4.104
204,183,2797,1,-5.696,-1.74
204,185,2009,-1,-1.9,-5.84
204,187,1478,1,-4.307,-1.296
204,189,3378,-1,-2.352,-4.368
204,191,3930,-1,-2.592,-5.625
204,193,1960,1,-5.103,-2.14
204,195,4488,-1,-3.328,-4.312
204,197,5223,-1,-5.06,-4.092
204,199,2284,-1,-1.35,-5.368
204,201,2323,-1,-1.1,-4.042
204,203,2360,-1,-3.944,-4.895
204,205,5304,1,-3.888,-1.962
204,207,2048,-1,-2.508,-3.528
204,209,2382,1,-4.056,-1.06
204,211,1802,-1,-1.17,-5.12
204,213,2549,1,-4.2,-1.204
204,215,1372,-1,-1.729,-3.723
204,217,2730,1,-1.695,-1.656
204,219,2817,-1,-4.446,-4.418
204,221,4681,-1,-1.9,-1.938
204,223,3734,-1,-5.406,-5.36
204,225,2238,1,-4.355,-3.312
204,227,1693,1,-4.96,-2.916
204,229,3917,-1,-4.845,-4.816
204,231,1014,1,-9.9,0
204,233,2525,1,-4.368,-1.365
204,235,3130,1,-5.95,-1.98
204,237,2292,-1,-3.06,-3.99
204,239,1701,1,-4.556,-2.553
204,241,2070,-1,-1.92,-2.928
204,243,2451,-1,-3.39,-5.395
204,245,3257,1,-4.785,-3.784
204,247,1414,1,-3.969,-4.988
204,249,1415,1,-5.568,-1.52
204,251,1081,-1,-1.05,-5.056
204,253,1511,-1,-1.455,-5.46
204,255,2013,1,-5.103,-4.116
204,257,1676,1,-5.632,-1.674
204,259,1309,-1,-1.18,-4.176
204,261,1173,1,-5.53,-1.539
204,263,1262,1,-3.416,-2.448
204,265,1304,-1,-1.442,-3.492
204,267,1415,-1,-5.4,-4.42
204,269,1427,-1,-3.78,-3.782
204,271,1083,1,-4.536,-1.56
204,273,1340,-1,-2.538,-4.5
204,275,3117,-1,-3.2,-4.209
204,277,1187,1,-3.066,-1.092
204,279,1051,1,-5.041,-1.04
204,281,1445,-1,-2.464,-5.456
204,283,3169,-1,-1.7,-2.624
204,285,1416,-1,-3.565,-5.546
204,287,1511,-1,-2.816,-4.851
204,289,4306,-1,-2.2,-2.204
204,291,1838,1,-4.266,-1.236
204,293,1552,1,-5.796,-2.85
204,295,783,1,-3.408,-1.442
204,297,2098,-1,-1.98,-5.06
204,299,3722,1,-5.2,-4.224
204,301,1047,-1,0,-9.9
204,303,4355,1,-4.221,-4.221
204,305,1149,-1,-1.41,-5.4
204,307,1056,-1,-1.06,-5.04
204,309,2524,-1,-1.792,-1.748
204,311,1725,-1,-1.84,-5.832
204,313,1423,1,-5.022,-1.056
204,315,2010,1,-5.356,-1.368
204,317,2463,-1,-1.428,-5.396
204,319,2782,-1,-3.952,-3.978
204,321,1363,1,-5.916,-1.869
204,323,1932,1,-3.944,-2.925
204,325,2168,-1,-5.106,-4.125
204,327,2730,-1,-2.808,-4.757
204,329,4347,1,-3.344,-3.354
204,331,3729,1,-3.3,-3.255
204,333,4436,1,-6,-4.95
204,335,1495,1,-5.12,-3.105
204,337,1757,-1,-2.332,-5.355
204,339,1357,-1,-1.443,-4.368
205,171,2115,-1,-3.944,-4.895
205,173,1394,-1,-2.04,-2.124
205,175,1711,-1,-4.785,-3.784
205,177,1450,1,-1.704,-5.67
205,179,1381,-1,-5.328,-2.34
205,181,1562,1,-1.701,-4.686
205,183,3689,1,-9.9,0
205,185,2264,1,-1.32,-4.35
205,187,2378,-1,-4.355,-3.312
205,189,1752,1,-1.01,-5.016
205,191,1806,1,-5.06,-4.092
