parcode,trial,rt,choice,item_left,item_right
204,25,1138,1,1.215,5.183
204,27,1868,1,3.689,5.698
204,29,1129,1,1.06,5.046
204,31,2086,-1,5.25,1.2
204,33,2939,1,4.563,2.542
204,35,1456,-1,5.451,2.449
204,37,2426,-1,2.496,2.507
204,39,1222,1,2.407,4.422
204,41,1198,-1,5.52,1.456
204,43,3404,-1,4.332,5.39
204,45,1351,-1,4.225,1.265
204,47,1584,-1,5.432,5.39
204,49,1172,-1,5.22,1.243
204,51,1171,1,1.824,5.874
204,53,1658,-1,3.552,2.596
204,55,2240,1,1.808,5.814
204,57,996,-1,9.9,0
204,59,1635,1,2.1,5.135
204,61,1377,1,2.04,4.98
204,63,2424,-1,3.267,3.213
204,65,2959,1,1.26,5.313
204,67,1906,-1,5.002,5.989
204,69,1327,-1,5.551,1.515
204,71,1490,-1,5.325,1.335
204,73,1900,1,1.116,2.079
204,75,1911,1,1.19,5.232
204,77,1474,-1,5.22,2.128
204,79,1792,-1,5.81,1.836
204,81,2806,-1,1.853,1.84
204,83,1954,-1,2.89,1.972
204,85,2794,-1,5.22,2.24
204,87,1292,1,2.744,5.795
204,89,1236,-1,4.148,2.133
204,91,1348,1,2.006,5.025
204,93,1388,-1,4.864,5.83
204,95,1273,-1,5.025,2.079
204,97,1219,-1,5.58,2.574
204,99,3203,-1,3.588,1.558
204,101,2903,-1,1.11,1.17
204,103,2356,-1,2.075,1.116
204,105,1513,-1,5.671,1.76
204,107,2549,-1,5.084,2.1
204,109,1438,1,2.625,5.6
204,111,1204,-1,4.662,2.688
204,113,1113,-1,9.9,0
204,115,1406,1,2.088,4.14
204,117,3840,1,4.36,4.3
204,119,2176,1,2.436,5.451
204,121,2733,-1,5.7,3.663
204,123,2755,1,5.61,4.554
204,125,1365,1,1.218,5.226
204,127,3158,1,2.94,4.941
204,129,1942,-1,5.814,1.856
204,131,1253,-1,5.1,1.144
204,133,1187,1,1.491,5.451
204,135,2158,1,2.76,4.814
204,137,2155,-1,3.591,2.553
204,139,3757,1,2.38,3.379
204,141,2803,1,3.193,4.16
204,143,1004,1,1.199,5.27
204,145,1380,1,1.498,4.437
204,147,1635,-1,5.28,1.312
204,149,1941,-1,4.617,1.577
204,151,2062,-1,5.353,4.36
204,153,2016,1,2.457,3.399
204,155,1116,1,1.116,5.124
204,157,2019,-1,5.278,4.223
204,159,1437,-1,5.865,1.856
204,161,3238,1,1.767,1.794
204,163,1344,1,3.528,5.55
204,165,1842,1,1.84,5.916
204,167,1552,1,1.136,4.154
204,169,1255,1,3.248,3.276
205,1,3070,-1,2.242,5.175
205,3,2172,-1,3.9,5.846
205,5,3416,1,1.02,5.025
205,7,2277,-1,3.886,1.848
205,9,2252,1,1.47,5.46
205,11,1900,-1,9.9,0
205,13,3071,1,2.04,4.98
205,15,3908,1,1.98,1.976
205,17,2259,1,1.19,5.232
205,19,1827,1,1.808,5.814
205,21,1363,1,2.968,4.928
205,23,1191,-1,4.8,3.772
205,25,2033,1,3.552,4.543
205,27,1422,-1,4.225,1.265
205,29,2250,-1,5.332,1.386
205,31,1317,-1,5.525,2.576
205,33,2105,-1,5.022,2.976
205,35,2276,-1,4.136,2.109
205,37,2038,-1,4.8,1.848
205,39,2233,1,2.1,5.135
205,41,2598,1,2.94,1.952
205,43,3049,-1,3.84,1.819
205,45,1357,-1,5.52,1.456
205,47,1154,-1,4.588,2.56
205,49,1325,-1,5.518,1.515
205,51,1827,-1,3.552,2.596
205,53,1283,-1,4.332,5.39
205,55,2362,1,3.689,5.698
205,57,1213,-1,5.822,1.848
205,59,830,-1,4.234,1.218
205,61,748,-1,5.002,5.989
205,63,1732,1,2.088,3.116
205,65,1447,1,2.997,4.964
205,67,2077,1,1.06,5.046
205,69,921,-1,2.275,1.32
205,71,1152,-1,4.422,5.46
205,73,1815,1,0,9.9
205,75,1247,-1,2.496,2.507
205,77,1223,1,1.666,5.76
205,79,1344,-1,5.325,1.335
205,81,1253,1,1.116,2.079
205,83,1168,1,2.89,5.92
205,85,1034,1,1.824,5.874
205,87,1598,1,1.11,1.17
205,89,1941,-1,5.18,1.188
205,91,1002,-1,5.025,2.079
205,93,1516,-1,5.103,5.11
205,95,1045,1,1.498,4.437
205,97,978,1,2.744,5.795
205,99,1435,1,3.528,5.55
205,101,1802,-1,5.58,2.574
205,103,986,-1,5.28,1.312
205,105,1144,1,2.38,4.422
205,107,785,-1,2.38,3.379
205,109,708,1,2.088,4.14
205,111,732,-1,5.995,1.989
205,113,788,1,2.436,5.451
205,115,1399,1,2.457,3.399
205,117,708,1,2.352,3.28
205,119,1797,-1,4.42,2.375
205,121,1132,1,5.238,4.209
205,123,931,-1,3.168,1.152
205,125,650,1,1.116,5.124
205,127,925,1,2.94,4.941
205,129,885,1,4.536,4.524
205,131,705,-1,4.617,1.577
205,133,895,1,4.485,5.472
205,135,2489,1,3.24,3.3
205,137,859,1,3.193,4.16
205,139,1425,-1,5.39,1.36
205,141,1703,-1,5.1,1.144
205,143,847,1,2.808,5.785
205,145,969,1,2.006,5.025
205,147,737,1,2.625,5.6
205,149,1364,-1,4.416,4.332
205,151,1595,1,0,9.9
205,153,1814,-1,5.7,2.668
205,155,1979,-1,5.452,2.442
205,157,1456,1,1.44,5.46
205,159,1008,1,1.8,5.822
205,161,1134,-1,5.814,1.856
205,163,922,-1,3.588,1.558
205,165,806,-1,5.251,3.24
205,167,699,1,1.794,4.74
205,169,605,1,1.136,4.154
206,1,1561,-1,4.896,3.885
206,3,1210,1,2.088,3.116
206,5,1387,-1,2.623,2.613
206,7,1848,1,1.368,4.418
206,9,1203,-1,4.77,1.776
206,11,1935,-1,4.225,1.265
206,13,1289,1,1.808,5.814
206,15,1657,1,1.768,3.724
206,17,2752,1,2.968,4.928
206,19,2243,1,4.332,5.39
206,21,2065,-1,2.016,2.088
206,23,1187,1,2.1,5.135
206,25,1484,1,5.432,5.39
206,27,927,-1,4.588,2.56
206,29,1052,-1,5.25,1.2
206,31,859,-1,5.325,1.335
206,33,1282,-1,4.002,2.028
206,35,1580,1,4.422,5.46
206,37,1677,1,3.9,5.846
206,39,729,-1,5.22,2.24
206,41,1162,-1,9.9,0
206,43,1213,1,2.04,4.98
206,45,881,1,0,9.9
206,47,924,-1,4.473,5.52
206,49,834,1,2.89,5.92
206,51,1508,1,1.863,4.898
206,53,868,-1,5.22,1.243
206,55,1065,1,1.47,2.46
206,57,807,1,1.02,5.025
206,59,650,1,1.26,5.313
206,61,717,-1,5.002,5.989
206,63,2458,-1,1.853,1.84
206,65,1246,1,3.276,5.251
206,67,752,1,1.548,4.575
206,69,835,1,2.407,4.422
206,71,1083,-1,5.865,4.879
206,73,828,-1,4.234,1.218
206,75,834,-1,5.525,2.576
206,77,855,-1,3.886,1.848
206,79,931,-1,4.136,2.109
206,81,683,-1,4.8,3.772
206,83,992,-1,9.9,0
206,85,779,1,1.215,5.183
206,87,1077,-1,4.24,2.247
206,89,1133,-1,5.28,1.312
206,91,942,-1,9.9,0
206,93,857,-1,2.075,1.116
206,95,980,1,0,9.9
206,97,953,1,1.955,6.003
206,99,991,1,1.776,2.828
206,101,971,1,1.794,4.74
206,103,755,-1,3.168,1.152
206,105,1541,-1,5.7,3.663
206,107,1728,1,3.24,3.3
206,109,2513,-1,1.11,1.17
206,111,959,1,1.136,4.154
206,113,928,1,2.744,5.795
206,115,954,1,3.193,4.16
206,117,2170,-1,1.767,1.794
206,119,1471,-1,5.353,4.36
206,121,889,-1,5.1,1.144
206,123,1014,1,3.248,3.276
206,125,772,-1,5.995,1.989
206,127,780,1,2.808,5.785
206,129,1090,-1,5.7,2.668
206,131,857,-1,3.588,1.558
206,133,860,1,1.116,5.124
206,135,842,-1,5.865,1.856
206,137,950,1,1.596,2.673
206,139,1466,-1,3.591,2.553
206,141,670,1,3.528,5.55
206,143,833,1,1.218,5.226
206,145,693,1,2.444,4.453
206,147,754,1,2.943,4.949
206,149,721,-1,5.814,1.856
206,151,714,-1,4.662,2.688
206,153,928,1,2.76,4.814
206,155,787,1,1.491,5.451
206,157,1027,-1,4.617,1.577
206,159,1051,-1,5.18,1.188
206,161,820,1,2.625,5.6
206,163,919,-1,5.025,2.079
206,165,1759,-1,1.498,4.437
206,167,1210,1,4.536,4.524
206,169,1264,-1,5.103,5.11
207,1,7431,1,1.548,4.575
207,3,6102,1,4.422,5.46
207,5,5735,-1,2.623,2.613
207,7,2491,-1,4.563,2.542
207,9,5597,-1,5.002,5.989
207,11,1623,1,3.24,5.22
207,13,1532,-1,4.234,1.218
207,15,3527,-1,1.98,1.976
207,17,4181,1,1.768,3.724
207,19,3604,-1,4.544,3.535
207,21,3183,1,1.06,5.046
207,23,1872,-1,4.473,5.52
207,25,1793,1,3.074,3.05
207,27,1602,-1,4.725,1.824
207,29,3224,1,1.554,1.548
207,31,1950,-1,2.275,1.32
