201
"aDDMTrial(DDMTrial(Number[], 2227.0, -1.0, 5.022, 2.976), Number[1, 0, 2, 0, 1], Number[721, 65, 901, 47, 299], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1705.0, -1.0, 4.896, 3.885), Number[0, 2, 0, 1], Number[235, 684, 47, 735], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1733.0, -1.0, 4.77, 1.776), Number[0, 1, 0, 2], Number[270, 600, 48, 733], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1688.0, -1.0, 5.52, 1.456), Number[0, 2, 0, 1], Number[236, 633, 31, 785], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1929.0, -1.0, 9.9, 0.0), Number[0, 1, 0, 2], Number[539, 399, 365, 622], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 2534.0, -1.0, 3.267, 3.213), Number[1, 0, 2, 0, 1], Number[905, 32, 1034, 64, 495], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1247.0, 1.0, 0.0, 9.9), Number[0, 1, 0, 2], Number[239, 533, 32, 440], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 2258.0, -1.0, 5.432, 5.39), Number[0, 1, 0, 2, 0, 1, 0, 2], Number[287, 817, 48, 500, 48, 416, 48, 86], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 2446.0, 1.0, 1.368, 4.418), Number[2, 0, 1, 0, 2], Number[356, 47, 1284, 215, 538], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 2332.0, -1.0, 2.89, 1.972), Number[2, 0, 1, 0, 2, 0, 1], Number[238, 798, 200, 49, 633, 48, 360], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1413.0, -1.0, 5.002, 5.989), Number[1, 0, 2], Number[740, 215, 456], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1626.0, 1.0, 1.666, 5.76), Number[2, 0, 1, 0, 2], Number[189, 298, 467, 48, 600], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1687.0, -1.0, 4.588, 2.56), Number[0, 1, 0, 2, 0, 1], Number[289, 484, 164, 350, 31, 364], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 2377.0, -1.0, 1.853, 1.84), Number[2, 0, 1, 0, 2, 0, 1, 0, 2, 0, 1], Number[321, 48, 350, 48, 500, 31, 650, 49, 283, 48, 38], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1402.0, -1.0, 5.822, 1.848), Number[1, 0, 2, 0, 1, 0, 2], Number[206, 48, 483, 32, 317, 282, 28], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1254.0, 1.0, 1.26, 5.313), Number[1, 0, 2], Number[486, 48, 534], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1783.0, 1.0, 2.124, 5.194), Number[0, 1, 0, 2], Number[288, 666, 48, 776], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1238.0, 1.0, 1.47, 5.46), Number[1, 0, 2, 0, 1], Number[522, 65, 567, 30, 49], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1910.0, -1.0, 4.8, 3.772), Number[2, 0, 1, 0, 2, 0, 1], Number[288, 48, 383, 348, 750, 48, 17], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1854.0, 1.0, 4.422, 5.46), Number[1, 0, 2], Number[539, 48, 1265], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1713.0, -1.0, 5.451, 2.449), Number[2, 0, 1, 0, 2, 0, 1, 0, 2], Number[206, 181, 16, 299, 467, 48, 16, 315, 156], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1123.0, 1.0, 1.824, 5.874), Number[1, 0, 2], Number[506, 65, 550], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1290.0, -1.0, 9.9, 0.0), Number[0, 1, 0, 2], Number[271, 250, 49, 467], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 3061.0, -1.0, 3.886, 1.848), Number[1, 0, 2, 0, 1, 0, 2, 0, 1], Number[205, 182, 234, 47, 350, 298, 1566, 48, 122], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1135.0, -1.0, 4.544, 3.535), Number[1, 0, 2], Number[238, 498, 183], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 2357.0, 1.0, 1.164, 4.176), Number[2, 0, 1, 0, 2, 0, 1, 0, 2], Number[489, 31, 517, 49, 433, 64, 617, 48, 101], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 2705.0, -1.0, 4.473, 5.52), Number[2, 0, 1, 0, 2, 0, 1, 0, 2], Number[204, 182, 200, 32, 550, 115, 416, 315, 683], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1656.0, -1.0, 5.518, 1.515), Number[2, 0, 1, 0, 2, 0, 1, 0, 2], Number[205, 64, 100, 398, 433, 347, 17, 32, 49], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 2344.0, -1.0, 3.552, 2.596), Number[2, 0, 1, 0, 2], Number[487, 48, 851, 32, 650], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1571.0, -1.0, 5.525, 2.576), Number[0, 1, 0, 2, 0, 1], Number[305, 483, 65, 600, 31, 16], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1562.0, 1.0, 1.768, 3.724), Number[0, 1, 0, 2], Number[290, 282, 48, 939], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1727.0, -1.0, 5.22, 1.243), Number[2, 0, 1, 0, 2], Number[904, 198, 466, 49, 105], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 2499.0, 1.0, 1.47, 2.46), Number[1, 0, 2], Number[1274, 265, 959], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1129.0, -1.0, 4.225, 1.265), Number[2, 0, 1], Number[306, 147, 673], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1206.0, 1.0, 1.215, 5.183), Number[2, 0, 1, 0, 2], Number[488, 48, 367, 31, 266], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 2130.0, 1.0, 4.332, 5.39), Number[0, 1, 0, 2, 0, 1, 0, 2], Number[306, 267, 47, 367, 31, 433, 165, 507], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1470.0, 1.0, 2.1, 5.135), Number[0, 1, 0, 2], Number[289, 266, 48, 834], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1534.0, 1.0, 3.24, 5.22), Number[1, 0, 2, 0, 1], Number[470, 48, 550, 48, 412], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1268.0, 1.0, 2.05, 4.096), Number[1, 0, 2], Number[239, 165, 861], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 3200.0, -1.0, 2.623, 2.613), Number[1, 0, 2, 0, 1, 0, 2, 0, 1], Number[455, 49, 567, 49, 950, 232, 267, 30, 595], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 2698.0, 1.0, 2.496, 2.507), Number[2, 0, 1, 0, 2, 0, 1, 0, 2], Number[455, 48, 500, 298, 784, 48, 500, 32, 24], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1569.0, -1.0, 4.59, 2.574), Number[1, 0, 2, 0, 1], Number[455, 47, 350, 64, 648], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1674.0, 1.0, 3.276, 5.251), Number[0, 2, 0, 1, 0, 2, 0, 1], Number[238, 267, 48, 250, 48, 650, 48, 119], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1046.0, -1.0, 1.554, 1.548), Number[1, 0, 2, 0, 1], Number[240, 181, 300, 48, 273], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1342.0, -1.0, 5.9, 3.842), Number[2, 0, 1], Number[719, 48, 572], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1627.0, -1.0, 4.002, 2.028), Number[0, 1, 0, 2, 0, 1], Number[289, 384, 264, 367, 48, 271], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1067.0, -1.0, 5.865, 4.879), Number[0, 1], Number[287, 779], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1281.0, -1.0, 5.22, 2.128), Number[1, 0, 2], Number[623, 198, 450], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1980.0, 1.0, 3.9, 5.846), Number[2, 0, 1, 0, 2], Number[337, 182, 817, 215, 425], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1135.0, -1.0, 5.81, 1.836), Number[0, 1, 0, 2], Number[289, 283, 399, 162], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 2323.0, 1.0, 2.016, 2.088), Number[2, 0, 1, 0, 2], Number[407, 131, 633, 49, 1066], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 2436.0, 1.0, 3.074, 3.05), Number[0, 1, 0, 2, 0, 1], Number[324, 267, 131, 967, 381, 333], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 3370.0, -1.0, 4.8, 1.848), Number[0, 1, 0, 2, 0, 1, 0, 2, 0, 1], Number[288, 833, 315, 33, 98, 300, 49, 500, 198, 216], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1902.0, -1.0, 3.337, 2.373), Number[1, 0, 2, 0, 1, 0, 2], Number[240, 249, 67, 48, 566, 48, 667], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1220.0, -1.0, 4.234, 1.218), Number[1, 0, 2, 0, 1], Number[238, 315, 333, 81, 201], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1152.0, 1.0, 1.808, 5.814), Number[2, 0, 1, 0, 2], Number[488, 63, 283, 148, 164], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1226.0, -1.0, 5.25, 1.2), Number[1, 0, 2, 0, 1, 0, 2], Number[438, 48, 283, 48, 83, 182, 137], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1754.0, 1.0, 4.563, 2.542), Number[0, 1, 0, 2, 0, 1, 0, 2], Number[372, 500, 49, 383, 98, 150, 49, 147], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1274.0, 1.0, 1.863, 4.898), Number[1, 0, 2], Number[454, 48, 768], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 1316.0, 1.0, 1.02, 5.025), Number[0, 1, 0, 2], Number[238, 200, 49, 599], Number[], 0.0)"
"aDDMTrial(DDMTrial(Number[], 882.0, -1.0, 4.136, 2.109), Number[2, 0, 1], Number[457, 30, 267], Number[], 0.0)"
